/dev/ttyACM0
2022-07-12 15:08:57
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
190720221907202219072022190720221907202207000700070007000700
190720221907202219072022190720221907202207000700070007000700
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
090820220908202209082022090820220908202207000700070007000700
090820220908202209082022090820220908202207000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
16:23:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:24:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00074 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:25:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:26:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:27:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:28:00 07/12/2022 00001 00039 00001 00000 00001 00000 00001 00073 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:29:00 07/12/2022 00001 00499 00001 00481 00001 00129 00001 00553 00001 00747 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:31:00 07/12/2022 00001 00111 00001 00111 00001 00000 00001 00104 00001 00076 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:32:00 07/12/2022 00001 00119 00001 00149 00001 00072 00001 00154 00001 00120 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:33:00 07/12/2022 00001 00000 00001 00111 00001 00000 00001 00074 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:34:00 07/12/2022 00001 00000 00001 00074 00001 00037 00001 00074 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:35:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:36:00 07/12/2022 00001 00000 00001 00074 00001 00036 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:37:00 07/12/2022 00001 00039 00001 00111 00001 00000 00001 00037 00001 00072 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:38:00 07/12/2022 00001 00115 00001 00111 00001 00036 00001 00147 00001 00121 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:40:00 07/12/2022 00001 00153 00001 00074 00001 00000 00001 00111 00001 00107 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:41:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:42:00 07/12/2022 00001 00077 00001 00000 00001 00000 00001 00073 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:43:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:44:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00074 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:45:00 07/12/2022 00001 00115 00001 00000 00001 00000 00001 00110 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:46:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:47:00 07/12/2022 00001 00078 00001 00000 00001 00000 00001 00074 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:49:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:50:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:51:00 07/12/2022 00001 00116 00001 00037 00001 00000 00001 00074 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:52:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:53:00 07/12/2022 00001 00039 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:54:00 07/12/2022 00001 00077 00001 00000 00001 00000 00001 00111 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:55:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:56:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:58:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
16:59:00 07/12/2022 00001 00000 00001 00000 00001 00000 00001 00000 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
17:00:00 07/12/2022 00001 00115 00001 00111 00001 00036 00001 00111 00001 00161 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
17:01:00 07/12/2022 00001 00038 00001 00000 00001 00000 00001 00037 00001 00000 00001 01000 00001 01000 00001 00000 00001 01000 00001 01000  
